zh_duty,zh_name,zh_require,zh_type
"1、快速深入了解业务，通过数据分析深入挖掘用户行为、产品、体验等数据价值，持续发现产品问题及业务增长点，支撑产品、运营决策，驱动业务增长
2、独立完成数据分析工作，包括数据提取、清洗、分析和报告等工作
3、独立主动自驱，持续提出数据结论和有效建议，并推动落地解决
4、通过持续数据分析形成方法论，提炼数据产品需求，形成数据产品解决方案，并推进方案落地执行
",PCG10-数据分析产品经理,"1、2年以上互联网数据分析或数据挖掘工作经验
2、数学、统计学、计算机等相关专业优先，掌握数据分析方法，能将相关方法应用于实际工作
3、精通HIVE/SQL等数据提取技术，掌握Python/R等，精通Excel、PPT等软件
4、具备良好数据敏感度和洞察力，逻辑清晰、表达能力佳
5、具备一定的产品思维，具备一定的影响力和判断力
6、有成功数据项目案例者优先
",产品
"参与公司内部开源协同体系建设，从流程建设、文档指引、激励体系、文化牵引、宣传体系、技术交流圈子建设、组织架构优化等纬度进行内部开源协同技术文化氛围建设；
负责拉通公司内部各同类技术平台之间的开源协同项目，并持续进行技术运营。
3持续关注学习业界开源动态，赋能公司内部开源协同。",TEG10-开源协同项目经理,"熟悉开源项目运作机制，有开源项目的开发或项目管理经验；
了解linux、apache等基金会运作机制，有合作经验者优先；
具有两年以上项目管理经验，能独立规划运作项目；
有较强的推动力，具备较强的沟通能力和组织能力；
",产品
"负责项目计划和迭代计划的制定、跟进和总结回顾，推动产品需求、运营需求和技术需求的落地执行，排除障碍，确保交付时间和质量；
负责跟合作有关部门和团队对接，确保内部外部团队高效协同工作；
不断优化项目流程规范；，及时发现并跟踪解决项目问题，有效管理项目风险。",25927-游戏测试项目经理,"本科及以上学历，计算机、通信或相关专业，3年以上相关工作经验，2年以上项目管理经验；精通软件项目过程管理，对敏捷项目管理有实际应用经验及深刻理解； 
具备良好的沟通技巧和团队合作精神，能够建立良好的团队氛围； 
具有较强的风险意识，能够很好的识别项目风险，并做好风险应对，具有较强的执行力，推动团队向目标前进； 
有游戏行业的测试背景者优先。",产品
" 1、负责NFV、智能网卡等网络系统的测试，包括制定测试方案和计划，搭建测试环境、编写测试用例、执行系统测试、输出测试报告等；
 2、负责NFV、智能网卡测试规范、测试流程的建设和优化，培养NFV、智能网卡系统测试人员；
 3、负责测试NFV、智能网卡等网络系统缺陷并协助分析，推动问题及时合理地解决，保证产品质量和研发进度；
 4、负责支撑NFV、智能网卡等网络系统现网版本发布及问题定位解决；
 5、负责新技术方案验证，评估其可行性、稳定性。",TEG02-云网络测试工程师,"1、本科及以上学历；
2、3年以上网络设备测试工作经验，熟悉软件测试、系统测试流程以及相关的工具，需要有较强的质量意识和客户服务意识；
3、熟悉TCP/IP协议，熟悉二层三层协议，熟悉OSPF、BGP、ISIS等动态路由协议，熟悉IPSec VPN、SSL VPN、NAT、MPLS原理，并有较强的分析故障排查能力和丰富的处理经验；
4、熟悉SDN、NFV、VxLAN、ODL等网络技术及原理，熟悉x86软转发OVS/DPDK/VPP等技术及原理，有过相关项目经验尤佳；
5、熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如python，shell，TCL等），能编写自动化测试程序；
6、对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
7、思维缜密，逻辑清晰，沟通能力强，责任心强，良好的团队协作精神。",技术
"负责服务器解决方案的需求分析，架构规划和技术规格等定制化工作; 
负责服务器机型定义及选型; 负责分析、定位和解决服务器性能问题以及性能优化；
负责服务器软硬结合技术方向的规划和方案输出。
",TEG10-服务器架构工程师,"本科及以上学历，5 年以上行业工作经验;
具备 x86 服务器体系，存储，网络相关行业工作经验;
Linux 系统深度用户，熟悉硬件架构，有过大规模服务器硬件运营经验;
了解 CPU，内存，硬盘，网卡等主要部件的基本工作原理;
熟悉 Linux 系统，熟悉 Linux 系统相关命令; 良好的沟通与表达能力,思维活跃，有较强逻辑分析能力与创新能力。
深入理解 x86 体系结构，对关键组件具备相应的开发、架构、测试经验。 熟悉大规模分布式系统，DB，Xen/KVM 等典型应用架构下性能调优，解决方案架构，需求分 析等相关工作及项目经验优先。",技术
微信读书内容运营，负责平台内容规则制定和审核,WXG11-微信读书内容运营,"1、 有丰富的内容运营经验，可以快速跟进热点。
2、 可以快速的整合资源，对内容进行放大扩散达成目标。
3、 思路开阔，对数据有较强的敏感度
4、 对活动策划和品牌运营有一定接触，具备实践能力。
5、具备商务拓展能力，目标导向
6、 对阅读感兴趣，包括但不限于出版类读书和网络文学
7、 踏实靠谱，热爱学习，认同微信价值观",产品
"理解制裁政策，排查制裁相关风险，对制裁相关的名单进行审核分析，会同相关部门制定行之有效的管控策略；
与合规、产品、技术和数据分析团队合作，确定并实施相关的解决方案，确保业务合规",18435-反洗钱制裁合规岗,"金融/法律或相关专业本科或硕士学位；
CAMS优先，熟悉主要名单提供者的数据库，有名单管理经验者优先；
3年以上国际知名金融机构或知名咨询公司的反洗钱经验；
对OFAC和其他制裁相关法规有很强的理解；
流利的英语和普通话口语、书面表达。",技术
"负责FPS游戏的设计；
负责射击游戏的场景/关卡/战场设计；
负责设计游戏的角色，武器和技能设计。",15605-游戏策划（深圳）,"资深FPS游戏策划，专精于武器以及技能设计；
或者专精于枪械手感调试机械性能设定；
或者专精于关卡地图设计的游戏设计师；
不限中外，有过主机游戏大厂工作经验的为佳。",产品
"负责创新产品功能的产品策划，从产品概念提出、设计到推动实施； 
负责制定具体产品执行计划并保证其得到高效高质的项目执行； 
在所负责的项目中起到关键角色，和团队高效合作，并推动跨部门合作； 
对所负责的模块进行数据跟踪，定期分析效果，跟踪用户行为。",PCG22-创新项目产品经理,"3年以上产品策划经验，热爱互联网产品，对创新产品充满热情； 
有较强的沟通能力、逻辑分析能力，善于发现解决问题；
责任心强，能够推进项目进程。",产品
"1、负责金融风控行业前沿研究，发掘新兴的市场商业机会；
2、与金融行业监管和重点金融机构紧密合作，探索新的合作模式；
3、与行业金融科技公司合作，结合腾讯的金融安全能力探讨双方可行的合作模式；
4、负责收集行业客户对于产品需求反馈，与产品研发部门沟通，不断完善产品和方案模型。",31506-金融风控产品专家,"1、具有金融行业风控工作经验，深刻理解行业主流技术；
2、具有很强产品设计和方案整合能力，有较强的沟通表达能力；
3、具有较强的抗压能力，高效工作，能够适应频繁出差；
4、博士及以上学历，知名金融行业至少8年工作经历。",产品
"1.负责通过社交裂变、内容分享等手段获取新用户，同时为新用户的新增、激活到后续留存活跃的全链路转化负责。
2.参与增长中台的建设，为增长中台的运营效率提升负责，整体上通过后台产品策划及监控数据指标，提升整体的流量使用效率。
",PCG10-用户增长产品经理,"1.具备2年以上互联网行业产品经验
2.熟悉互联网裂变玩法，有完善裂变项目经验者优先
3.有良好的产品分析及设计思路，逻辑能力强
4.强数据导向，且擅长项目管理
4.沟通能力强，抗压能力强
5.肯吃苦耐劳，有责任心，积极向上
",产品
